prod,prod,pond
SERVICIOSENCENTROSDEESTETICA,PRODUCTO_SERVICIOSENCENTROSDEESTETICA,0.11232
AFEITADORAYDEPILADORAELECTRICA,PRODUCTO_AFEITADORAYDEPILADORAELECTRICA,0.03
MAQUINADEAFEITARDESECHABLE,PRODUCTO_MAQUINADEAFEITARDESECHABLE,0.0544
ARTICULOSDIVERSOSPARAELCUIDADOPERSONAL,PRODUCTO_ARTICULOSDIVERSOSPARAELCUIDADOPERSONAL,0.03717
BLOQUEADORESYBRONCEADORES,PRODUCTO_BLOQUEADORESYBRONCEADORES,0.03724
COLONIASYPERFUMES,PRODUCTO_COLONIASYPERFUMES,0.20367
DESODORANTESYANTITRANSPIRANTES,PRODUCTO_DESODORANTESYANTITRANSPIRANTES,0.16733
PRODUCTOSDEHIGIENEBUCAL,PRODUCTO_PRODUCTOSDEHIGIENEBUCAL,0.17978
PAPELHIGIENICO,PRODUCTO_PAPELHIGIENICO,0.37335
JABON,PRODUCTO_JABON,0.11949
PAÑALESDESECHABLES,PRODUCTO_PAÑALESDESECHABLES,0.36613
PROTECCIONHIGIENICAFEMENINA,PRODUCTO_PROTECCIONHIGIENICAFEMENINA,0.08028
SHAMPOOYBALSAMO,PRODUCTO_SHAMPOOYBALSAMO,0.28385
CREMASPARALAPIEL,PRODUCTO_CREMASPARALAPIEL,0.17784
PRODUCTOSDEMAQUILLAJE,PRODUCTO_PRODUCTOSDEMAQUILLAJE,0.15331
TINTURASYFIJADORES,PRODUCTO_TINTURASYFIJADORES,0.12015
JOYAS,PRODUCTO_JOYAS,0.17174
RELOJDEPULSERA,PRODUCTO_RELOJDEPULSERA,0.06962
ARTICULOSPARATRANSPORTEDEEFECTOSPERSONALES,PRODUCTO_ARTICULOSPARATRANSPORTEDEEFECTOSPERSONALES,0.29735
ARTICULOSPARATRANSPORTEDEBEBE,PRODUCTO_ARTICULOSPARATRANSPORTEDEBEBE,0.03873
LENTESDESOL,PRODUCTO_LENTESDESOL,0.04135
SEGUROS,PRODUCTO_SEGUROS,0.61603
GASTOFINANCIERO,PRODUCTO_GASTOFINANCIERO,0.23354
