Fecha,Dia,Mes,Year,a,b
07.12.2015,7,12,2015,706.46,
08.12.2015,8,12,2015,705.92,
09.12.2015,9,12,2015,704.4,
10.12.2015,10,12,2015,705,
11.12.2015,11,12,2015,709.35,
14.12.2015,14,12,2015,712.9,
15.12.2015,15,12,2015,710.65,
16.12.2015,16,12,2015,705.99,
17.12.2015,17,12,2015,706.9,
18.12.2015,18,12,2015,698.95,
21.12.2015,21,12,2015,692.76,
22.12.2015,22,12,2015,697.1,
23.12.2015,23,12,2015,698.9,
24.12.2015,24,12,2015,700.33,
25.12.2015,25,12,2015,700.15,
28.12.2015,28,12,2015,707.9,
29.12.2015,29,12,2015,707,
30.12.2015,30,12,2015,710.73,
31.12.2015,31,12,2015,708.6,
01.01.2016,1,1,2016,708.6,721.6380952
04.01.2016,4,1,2016,717,
05.01.2016,5,1,2016,713.6,
06.01.2016,6,1,2016,715.1,
07.01.2016,7,1,2016,723.35,
08.01.2016,8,1,2016,727.4,
11.01.2016,11,1,2016,731.9,
12.01.2016,12,1,2016,730.2,
13.01.2016,13,1,2016,727.6,
14.01.2016,14,1,2016,721.3,
15.01.2016,15,1,2016,730.9,
18.01.2016,18,1,2016,730.39,
19.01.2016,19,1,2016,727.4,
20.01.2016,20,1,2016,727.4,
21.01.2016,21,1,2016,725.6,
22.01.2016,22,1,2016,715.62,
25.01.2016,25,1,2016,722.7,
26.01.2016,26,1,2016,718.25,
27.01.2016,27,1,2016,715.6,
28.01.2016,28,1,2016,711.09,
29.01.2016,29,1,2016,713.4,
01.02.2016,1,2,2016,711.78,703.1433333
02.02.2016,2,2,2016,714.16,
03.02.2016,3,2,2016,704.65,
04.02.2016,4,2,2016,696.55,
05.02.2016,5,2,2016,706.14,
08.02.2016,8,2,2016,713.7,
09.02.2016,9,2,2016,713.9,
10.02.2016,10,2,2016,712.88,
11.02.2016,11,2,2016,712.6,
12.02.2016,12,2,2016,704.25,
15.02.2016,15,2,2016,702.5,
16.02.2016,16,2,2016,708.95,
17.02.2016,17,2,2016,700.65,
18.02.2016,18,2,2016,702.56,
19.02.2016,19,2,2016,699.2,
22.02.2016,22,2,2016,692.23,
23.02.2016,23,2,2016,696.02,
24.02.2016,24,2,2016,692.88,
25.02.2016,25,2,2016,690.7,
26.02.2016,26,2,2016,693.15,
29.02.2016,29,2,2016,696.56,
01.03.2016,1,3,2016,689.4,680.0995652
02.03.2016,2,3,2016,684.8,
03.03.2016,3,3,2016,685.95,
04.03.2016,4,3,2016,681.8,
07.03.2016,7,3,2016,678.65,
08.03.2016,8,3,2016,683.4,
09.03.2016,9,3,2016,677.8,
10.03.2016,10,3,2016,682.83,
11.03.2016,11,3,2016,682.88,
14.03.2016,14,3,2016,682.86,
15.03.2016,15,3,2016,686.69,
16.03.2016,16,3,2016,680.83,
17.03.2016,17,3,2016,669.84,
18.03.2016,18,3,2016,676.3,
21.03.2016,21,3,2016,676.21,
22.03.2016,22,3,2016,673.42,
23.03.2016,23,3,2016,681.35,
24.03.2016,24,3,2016,680.58,
25.03.2016,25,3,2016,680.8,
28.03.2016,28,3,2016,681.33,
29.03.2016,29,3,2016,681.42,
30.03.2016,30,3,2016,672.75,
31.03.2016,31,3,2016,670.4,
01.04.2016,1,4,2016,670.7,669.4104762
04.04.2016,4,4,2016,672.7,
05.04.2016,5,4,2016,675,
06.04.2016,6,4,2016,675.3,
07.04.2016,7,4,2016,684.9,
08.04.2016,8,4,2016,683.56,
11.04.2016,11,4,2016,679.14,
12.04.2016,12,4,2016,673.04,
13.04.2016,13,4,2016,670.38,
14.04.2016,14,4,2016,663.7,
15.04.2016,15,4,2016,666.6,
18.04.2016,18,4,2016,663.27,
19.04.2016,19,4,2016,659.9,
20.04.2016,20,4,2016,658.22,
21.04.2016,21,4,2016,666.3,
22.04.2016,22,4,2016,668.3,
25.04.2016,25,4,2016,669.35,
26.04.2016,26,4,2016,669.3,
27.04.2016,27,4,2016,664.9,
28.04.2016,28,4,2016,661.96,
29.04.2016,29,4,2016,661.1,
02.05.2016,2,5,2016,661.39,684.2031818
03.05.2016,3,5,2016,669.33,
04.05.2016,4,5,2016,671.69,
05.05.2016,5,5,2016,667.9,
06.05.2016,6,5,2016,664.22,
09.05.2016,9,5,2016,677.48,
10.05.2016,10,5,2016,678.7,
11.05.2016,11,5,2016,679.7,
12.05.2016,12,5,2016,684.9,
13.05.2016,13,5,2016,691.33,
16.05.2016,16,5,2016,694.12,
17.05.2016,17,5,2016,689.1,
18.05.2016,18,5,2016,696.13,
19.05.2016,19,5,2016,694.24,
20.05.2016,20,5,2016,691.7,
23.05.2016,23,5,2016,694.8,
24.05.2016,24,5,2016,695.4,
25.05.2016,25,5,2016,691.66,
26.05.2016,26,5,2016,687.3,
27.05.2016,27,5,2016,688.2,
30.05.2016,30,5,2016,690.65,
31.05.2016,31,5,2016,692.53,
01.06.2016,1,6,2016,691.53,679.2104545
02.06.2016,2,6,2016,689.8,
